案发时间,案件类型,区域分布,点名次数,纬度,经度
201408,撬砸汽车,朝阳区东风,1,39.93854,116.505325
201408,撬砸汽车,朝阳区十八里店,2,39.84223,116.484985
201408,撬砸汽车,朝阳区太阳宫,1,39.97628,116.443985
201408,撬砸汽车,丰台区新发地,1,39.81228,116.34063
201408,撬砸汽车,丰台区云岗,1,39.80503,116.17659
201408,撬砸汽车,海淀区大钟寺,1,39.9641,116.34217
201408,撬砸汽车,海淀区东升,1,39.9953,116.3344
201408,撬砸汽车,海淀区恩济庄,1,39.9275,116.28275
201408,入室盗窃,朝阳区劲松,2,39.884216,116.458916
201408,入室盗窃,朝阳区六里屯,1,39.930466,116.48552
201408,入室盗窃,朝阳区太阳宫,1,39.97628,116.443985
201408,入室盗窃,东城区东直门,1,39.941296,116.42647
201408,入室盗窃,东城区建国门,1,39.908466,116.43533
201408,入室盗窃,东城区永外,1,39.86261,116.396545
201408,入室盗窃,丰台区马家堡,4,39.852848,116.37915
201408,入室盗窃,海淀区大钟寺,1,39.9641,116.34217
201408,入室盗窃,海淀区上庄,1,40.09698,116.215675
201408,入室盗窃,海淀区苏家坨,1,40.08027,116.16458
201408,入室盗窃,海淀区万寿寺,1,39.951084,116.312355
201408,入室盗窃,石景山区金顶街,1,39.927166,116.16908
201408,入室盗窃,石景山区苹果园,2,39.90807,116.20131
201408,入室盗窃,西城区阜外大街,1,39.92339,116.34581
201408,入室盗窃,西城区广外,1,39.891296,116.33615
201408,入室盗窃,西城区天宁寺,1,39.894356,116.346
201408,入室盗窃,西城区展览路,1,39.932034,116.34452
201408,诈骗,朝阳区建国门外,2,39.908543,116.449425
201408,诈骗,朝阳区南磨房,2,39.883575,116.478
201408,诈骗,东城区安外大街,2,39.958866,116.40817
201408,诈骗,东城区北新桥,1,39.94087,116.41682
201408,诈骗,丰台区东高地,1,39.805676,116.414154
201408,诈骗,丰台区丰台镇,1,39.870472,116.28041
201408,诈骗,丰台区科技园区,2,39.814003,116.29198
201408,诈骗,海淀区大钟寺,1,39.9641,116.34217
201408,诈骗,海淀区海淀,1,39.990406,116.295525
201408,诈骗,海淀区花园路,1,39.977524,116.36569
201408,诈骗,海淀区万寿寺,1,39.951084,116.312355
201408,诈骗,石景山区八宝山,1,39.906998,116.24176
201408,诈骗,石景山区新古城,1,39.906612,116.222984
201408,诈骗,西城区德胜门外,2,39.953094,116.37947
201408,诈骗,西城区阜外大街,1,39.92339,116.34581
201408,诈骗,西城区广外,1,39.891296,116.33615
201409,扒窃,朝阳区十八里店,1,39.84223,116.484985
